id,Name,Description,Building_type,Property_type,Amenities,host_id,Host_name,Host_identity_verified,Host_Experience,Host_fee,Neighbourhood,State,Zipcode,Currency,Season,Instant_bookable,Construction_year,Accommodation_year,Commission,Booking_total,Status,Bookings,Service_fee,Cancellation_Policy,Food_cost,Food_type,Minimum_nights,Reviews,Reviews_per_month,Review_rate_number,House_rules,Host_Revenue,Platform_Revenue,Total_Revenue,Year
4432170,The Sunset,"Sunny, quiet, legal homelike suite-Pk Slope South",Entire house,Loft,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Washer and Dryer' 'Heaters' 'Coffee machine']",4635434,Marianne,confirmed,Moderately Experienced,0.11,The Bukit Peninsula in  Indonesia,Kansas,3954,usd,Holiday Season,No,24-08-2019,24-08-2020,0.12,67.83,not confirmed,373,0,Moderate,23.16,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'Milk'],335,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,5.82,2,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,29.2443,3.1428,43.3377,2020
5917623,The Coral Reef Estate,Columbus Circle Luxury Bldg - Private Room&Bath,Private room,Bed & Breakfast,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'LED TV' 'Pool' 'Iron and iron board']",3745972,Jennifer,not confirmed,Inexperienced,0,Oak Lawn in  Texas,Greece,2258,usd,Non Holiday Season,Yes,24-02-2016,24-02-2017,0.13,77.3,not confirmed,160,0,Flexible,13.3,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'Yogurt'],123,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,8.54,8,No smoking,22.73,18.4464,49.0654,2017
9954755,Sandy Beachfront Oasis,"Historic House Boerum Hill, BK, NYC",Private room,Cabin,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Iron and iron board' 'Pool']",5769667,Yukako,confirmed,Inexperienced,0.13,Oak Lawn in  Texas,Melbourne,2406,usd,Holiday Season,Yes,23-01-2010,23-01-2011,0.13,89.58,confirmed,850,0.46,Strict,36.85,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'OJ'],91,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",7.17,4,No smoking,35.6034,7.7436,103.4878,2011
7981565,The Easy in Brooklyn,Landmark 2 Bedroom West Village NYC,Shared room,Condominium,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Coffee machine' 'Washer and Dryer']",9182395,Kazuya,confirmed,Experienced,0.13,District VII in  Hungary,Colorado,7804,usd,Holiday Season,Yes,02-11-2011,02-11-2012,0.13,79.28,not confirmed,718,0,Moderate,37.21,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'Muffins'],342,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,9.99,3," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",33.2344,8.0919,84.2498,2012
7864556,Pennsylvania Avenue Best Kept Secret,Room in Chic Modern High Line Luxury- New!,Apartment,Cabin,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Smart locks for self check-in' 'LED TV'
 'Iron and iron board']",1239199,Wright,not confirmed,Experienced,0,Poncey-Highland in  Georgia,London,4087,usd,Holiday Season,No,18-07-2014,18-07-2015,0.15,74.42,not confirmed,28,0,Strict,46.51,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'Bread and Jam'],319,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",1.69,8,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,22.442,3.6504,83.6948,2015
9409928,Miami Getaway,Snug & Private Bedroom only 30-35 min to Manhattan,Entire house,Unconventional,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Smart locks for self check-in' 'Iron and iron board'
 'Air conditioning']",8038366,Yukako,not confirmed,Inexperienced,0,Capucins in France,France,2470,usd,Non Holiday Season,No,26-05-2011,26-05-2012,0.14,72.94,confirmed,625,0.45,Moderate,52.13,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'Bread and Jam'],447,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,3.96,10,I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand.,22.294,10.692,112.8332,2012
1018887,The Jackfruit Tree,CHARMING PRIVATE BEDROOM EAST VILLAGE,Private room,Townhouse,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Washer and Dryer' 'Pool' 'Air conditioning']",7595922,Crystal,confirmed,Inexperienced,0.15,Triana in Spain,Spain,9687,usd,Holiday Season,Yes,01-11-2009,01-11-2010,0.1,73.35,not confirmed,735,0,Moderate,35.13,['Cereals' 'Fruits' 'Vegetables' 'OJ' 'Yogurt'],200,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,2.61,10,Clean up and treat the home the way you'd like your home to be treated,33.3375,7.047,59.3775,2010
2112833,The Home Sweet Home,Private E. Village Townhouse Stay,Shared room,Villa,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Coffee machine'
 'Smart locks for self check-in']",6208306,Rogers,not confirmed,Inexperienced,0,Poncey-Highland in  Georgia,Mumbai,8364,usd,Non Holiday Season,Yes,29-01-2016,29-01-2017,0.12,71.98,confirmed,887,0.49,Flexible,23.34,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'Bread and Jam'],126,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,5.31,8, I have a cute and quiet mixed chihuahua.,22.198,11.4696,87.2392,2017
6435843,,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,Entire house,Bed & Breakfast,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Smart locks for self check-in'
 'Air conditioning']",2533242,Lyndon,confirmed,Experienced,0.16,Capucins in France,France,3478,usd,Non Holiday Season,No,18-07-2021,18-07-2022,0.14,81.93,not confirmed,568,0,Strict,52.99,['Cereals' 'Fruits' 'Vegetables' 'OJ' 'Juices'],84,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,3.14,8,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,36.3018,6.7824,97.9408,2022
4772777,Downtown Penthouse Oasis,Clinton Hill + Free Coffee = #smile,Shared room,Cabin,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Air conditioning' 'Coffee machine'
 'Smart locks for self check-in']",2474198,Ferguson,confirmed,Inexperienced,0.15,Capucins in France,France,1544,usd,Holiday Season,Yes,12-05-2010,12-05-2011,0.11,64.31,confirmed,427,0.45,Strict,29.59,['Cereals' 'Fruits' 'Vegetables' 'Muffins' 'Eggs'],317,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,4.31,9,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",31.0775,10.4733,85.9321,2011
